,en,de,fr,es,pl,da,tr,bg,bs,sq,mt,zh,mixed,unknown
english,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
german,65.5,34.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
french,52.5,0.0,47.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spanish,61.5,0.0,0.0,38.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
polish,39.5,0.0,0.0,0.0,57.99999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.0,0.0
danish,84.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5
turkish,10.0,0.0,0.0,0.0,0.0,0.0,89.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
bulgarian,4.5,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,2.5,55.00000000000001,2.0,0.0
bosnian,49.0,0.0,2.0,0.0,0.0,0.0,0.0,7.000000000000001,37.0,0.0,0.5,1.5,3.0,0.0
albanian,85.5,0.0,3.5000000000000004,1.5,0.0,0.0,0.0,0.0,0.0,6.5,0.5,0.0,2.5,0.0
maltese,69.0,0.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,2.0,1.5,0.0
