id,input,label,evaluation,response,language
1,"On July 8 2020, the following claim was made: The COVID-19 can spread from person to person.
Q: Was this claim true or false?",True,True,True,uk
2,"On July 8 2020, the following claim was made: The most common symptoms of COVID-19 are fever, tiredness, and dry cough.
Q: Was this claim true or false?",True,True,True,uk
3,"On July 8 2020, the following claim was made: The main way the COVID-19 spreads is through respiratory droplets.
Q: Was this claim true or false?",True,True,True,uk
4,"On July 8 2020, the following claim was made: The incubation period for COVID-19 range from 1 to 14 days.
Q: Was this claim true or false?",True,True,True,uk
5,"On July 8 2020, the following claim was made: Antibiotics does not work to kill COVID-19 virus.
Q: Was this claim true or false?",True,False,False,uk
6,"On July 8 2020, the following claim was made: There is already a vaccine to treat COVID-19.
Q: Was this claim true or false?",False,False,False,uk
7,"On July 8 2020, the following claim was made: Cleaning hands do not help to prevent COVID-19.
Q: Was this claim true or false?",False,False,False,uk
8,"On July 8 2020, the following claim was made: The COVID-19 is same as SARS.
Q: Was this claim true or false?",False,False,False,uk
9,"On July 8 2020, the following claim was made: COVID-19 virus survives on surfaces for 7 days.
Q: Was this claim true or false?",False,False,False,uk
10,"On July 8 2020, the following claim was made: COVID-19 source is from animal eating.
Q: Was this claim true or false?",False,False,False,uk
11,"On July 8 2020, the following claim was made: covid-19 is a common flu.
Q: Was this claim true or false?",False,False,False,uk
12,"On July 8 2020, the following claim was made: sunlight can kill covid-19 virus.
Q: Was this claim true or false?",False,False,False,uk
13,"On July 8 2020, the following claim was made: drinking bleach can help to cure covid-19 virus.
Q: Was this claim true or false?",False,False,False,uk
14,"On July 8 2020, the following claim was made: Home remedies can cure or prevent the COVID-19.
Q: Was this claim true or false?",False,False,False,uk
15,"On July 8 2020, the following claim was made: COVID-19 is man-made terrorism to kill people.
Q: Was this claim true or false?",False,False,False,uk
16,"On July 8 2020, the following claim was made: Heat can kill the COVID-19.
Q: Was this claim true or false?",False,False,False,uk
17,"On July 8 2020, the following claim was made: Hand dryers can kill the COVID-19.
Q: Was this claim true or false?",False,False,False,uk
18,"On July 8 2020, the following claim was made: The COVID-19 can be transmitted through mail.
Q: Was this claim true or false?",False,False,False,uk
19,"On July 8 2020, the following claim was made: Kids can't get the COVID-19.
Q: Was this claim true or false?",False,False,False,uk
20,"On July 8 2020, the following claim was made: People who get the COVID-19 will die.
Q: Was this claim true or false?",False,False,False,uk
21,"On July 8 2020, the following claim was made: 5G mobile networks spread COVID-19
Q: Was this claim true or false?",False,False,False,uk
22,"On July 8 2020, the following claim was made: Exposing yourself to the sun or to temperatures higher than 25C degrees prevent the COVID-19 disease.
Q: Was this claim true or false?",False,False,False,uk
23,"On July 8 2020, the following claim was made: You cannot recover from the COVID-19.
Q: Was this claim true or false?",False,False,False,uk
24,"On July 8 2020, the following claim was made: Catching the COVID-19 means you will have it for life
Q: Was this claim true or false?",False,False,False,uk
25,"On July 8 2020, the following claim was made: Being able to hold your breath for 10 seconds or more without coughing or feeling discomfort means you are free from the COVID-19 or any other lung disease.
Q: Was this claim true or false?",False,False,False,uk
26,"On July 8 2020, the following claim was made: Drinking alcohol protect you against COVID-19 and can be dangerous
Q: Was this claim true or false?",False,False,False,uk
27,"On July 8 2020, the following claim was made: COVID-19 virus CANNOT be transmitted in areas with hot and humid climates
Q: Was this claim true or false?",False,False,False,uk
28,"On July 8 2020, the following claim was made: Cold weather and snow can kill the COVID-19.
Q: Was this claim true or false?",False,False,False,uk
